card	lapses
w-0001	1
w-0002	3
w-0004	1
w-0005	1
w-0006	2
w-0007	9
w-0008	1
w-0009	3
w-0011	1
w-0012	1
w-0013	5
w-0014	9
w-0015	1
w-0016	5
w-0018	1
w-0019	1
w-0020	3
w-0021	9
w-0022	1
w-0023	3
w-0025	1
w-0026	1
w-0027	1
w-0028	9
w-0029	1
w-0030	1
w-0032	1
w-0033	1
w-0034	5
w-0035	8
w-0036	1
w-0037	3
w-0039	1
w-0040	1
w-0041	3
w-0042	8
w-0043	1
w-0044	2
w-0046	1
w-0047	1
w-0048	3
w-0049	8
w-0050	1
w-0051	2
w-0053	1
w-0054	1
w-0055	5
w-0056	10
w-0057	1
w-0058	5
w-0060	1
w-0062	1
w-0063	9
w-0064	1
w-0065	1
w-0066	1
w-0067	1
w-0069	1
w-0070	9
w-0071	1
w-0072	1
w-0074	1
w-0076	4
w-0077	9
w-0078	1
w-0079	4
w-0081	1
w-0082	1
w-0083	1
w-0084	10
w-0085	1
w-0086	3
w-0088	1
w-0089	1
w-0090	1
w-0091	9
w-0092	1
w-0093	1
w-0094	1
w-0095	1
w-0097	3
w-0098	9
w-0099	1
w-0100	4
w-0101	1
w-0102	1
w-0104	1
w-0105	9
w-0106	1
w-0107	1
w-0108	1
w-0109	1
w-0111	1
w-0112	9
w-0113	1
w-0114	1
w-0115	1
w-0116	1
w-0118	3
w-0119	9
w-0120	1
w-0121	4
w-0122	1
w-0123	1
w-0125	1
w-0126	8
w-0127	1
w-0128	1
w-0129	1
w-0130	1
w-0132	1
w-0133	8
w-0134	1
w-0135	1
w-0136	1
w-0137	1
w-0139	3
w-0140	7
w-0141	1
w-0142	5
w-0143	1
w-0144	1
w-0146	1
w-0147	7
w-0148	1
w-0149	1
w-0150	1
w-0151	1
w-0153	1
w-0154	6
w-0155	1
w-0156	3
w-0157	1
w-0158	1
w-0160	2
w-0161	8
w-0162	1
w-0163	3
w-0164	1
w-0165	1
w-0167	1
w-0168	8
w-0169	1
w-0170	3
w-0171	1
w-0172	1
w-0174	1
w-0175	8
w-0176	1
w-0177	3
w-0178	1
w-0179	1
w-0180	1
w-0181	1
w-0182	7
w-0183	1
w-0184	2
w-0185	1
w-0186	1
w-0187	1
w-0188	1
w-0189	6
w-0190	1
w-0191	2
w-0192	1
w-0193	1
w-0194	1
w-0195	1
w-0196	6
w-0197	1
w-0198	2
w-0199	1
w-0200	1
w-0201	1
w-0202	2
w-0203	6
w-0204	1
w-0205	2
w-0206	1
w-0207	1
w-0208	1
w-0209	1
w-0210	6
w-0211	1
w-0212	3
w-0213	1
w-0214	1
w-0215	1
w-0216	1
w-0217	6
w-0218	1
w-0219	3
w-0220	1
w-0221	3
w-0222	1
w-0223	1
w-0224	6
w-0225	1
w-0226	4
w-0227	1
w-0228	1
w-0229	1
w-0230	1
w-0231	6
w-0232	1
w-0233	3
w-0234	1
w-0235	1
w-0236	1
w-0237	1
w-0238	6
w-0239	1
w-0240	2
w-0241	1
w-0242	3
w-0243	1
w-0244	1
w-0245	5
w-0246	3
w-0247	4
w-0248	1
w-0249	2
w-0250	1
w-0251	1
w-0252	5
w-0253	4
w-0254	4
w-0255	1
w-0256	5
w-0257	1
w-0258	1
w-0259	5
w-0260	1
