date	due	done	again	new
2025-09-01	0	0	0	30
2025-09-02	30	30	4	30
2025-09-03	34	34	8	30
2025-09-04	38	38	12	30
2025-09-05	68	68	21	30
2025-09-06	77	77	27	30
2025-09-07	83	83	32	30
2025-09-08	87	87	34	30
2025-09-09	92	92	37	30
2025-09-10	96	96	35	30
2025-09-11	94	94	32	30
2025-09-12	113	113	28	30
2025-09-13	113	113	30	30
2025-09-14	117	117	29	30
2025-09-15	120	120	25	30
2025-09-16	116	116	16	30
2025-09-17	113	113	13	30
2025-09-18	110	110	10	30
2025-09-19	111	111	9	30
2025-09-20	105	117	7	30
2025-09-21	91	91	12	30
2025-09-22	108	108	16	30
2025-09-23	113	113	14	30
2025-09-24	112	112	10	30
2025-09-25	114	114	8	30
2025-09-26	136	136	11	30
2025-09-27	135	135	8	30
2025-09-28	122	122	8	30
2025-09-29	119	60	6	30
2025-09-30	185	60	9	30
2025-10-01	251	60	7	30
2025-10-02	288	60	11	30
2025-10-03	368	60	9	30
2025-10-04	424	60	12	30
2025-10-05	477	60	9	30
2025-10-06	495	60	15	30
2025-10-07	552	60	7	30
2025-10-08	581	60	15	30
2025-10-09	658	60	23	30
2025-10-13	843	60	25	30
2025-10-14	840	60	23	30
2025-10-15	881	60	27	30
2025-10-16	900	60	25	30
2025-10-17	925	60	26	30
2025-10-18	943	60	30	30
2025-10-19	972	12	6	30
2025-10-20	1025	12	6	30
2025-10-21	1096	12	7	30
2025-10-22	1138	12	8	30
2025-10-23	1172	12	4	30
2025-10-24	1195	12	8	30
2025-10-25	1234	12	9	30
2025-10-26	1282	12	9	30
2025-10-27	1347	12	7	30
2025-10-28	1414	12	10	30
2025-10-29	1467	12	10	30
2025-10-30	1505	12	12	30
2025-10-31	1560	12	10	30
2025-11-01	1591	12	10	30
2025-11-02	1641	12	11	30
2025-11-03	1670	12	10	30
2025-11-04	1720	12	11	30
2025-11-05	1755	12	10	30
2025-11-06	1798	12	11	30
2025-11-07	1827	12	10	30
2025-11-08	1875	12	12	30
2025-11-09	1907	12	12	30
2025-11-10	1941	12	12	30
2025-11-11	1972	12	10	30
2025-11-12	2000	12	10	30
2025-11-13	2038	12	10	30
2025-11-14	2068	12	11	30
2025-11-15	2115	60	51	30
2025-11-16	2154	60	52	30
2025-11-17	2177	60	52	30
2025-11-18	2200	60	54	30
2025-11-19	2228	60	51	30
2025-11-20	2256	60	50	30
2025-11-21	2284	60	47	30
2025-11-22	2309	60	51	30
2025-11-23	2346	60	53	30
2025-11-24	2381	60	50	30
2025-11-25	2407	60	51	30
2025-11-26	2439	60	51	30
2025-11-27	2471	60	53	30
2025-11-28	2504	60	53	30
2025-11-29	2535	60	52	30
2025-11-30	2559	60	53	30
2025-12-01	2589	60	50	30
2025-12-02	2617	60	45	30
2025-12-03	2642	60	48	30
2025-12-04	2666	60	42	30
2025-12-05	2681	60	52	30
2025-12-06	2709	60	51	30
2025-12-07	2737	60	50	30
2025-12-08	2761	60	49	30
2025-12-09	2788	60	54	30
2025-12-10	2819	60	52	30
2025-12-11	2850	60	51	30
2025-12-12	2879	60	54	30
2025-12-13	2909	60	51	30
2025-12-14	2938	60	51	30
2025-12-15	2970	60	51	30
2025-12-16	3001	60	51	30
2025-12-17	3036	60	53	30
2025-12-18	3070	60	49	30
2025-12-19	3100	60	55	30
2025-12-20	3132	60	48	30
2025-12-21	3161	60	49	30
2025-12-22	3187	60	51	30
2025-12-23	3220	60	47	30
2025-12-24	3250	60	44	30
2025-12-25	3274	60	52	30
2025-12-26	3311	60	54	30
2025-12-27	3356	60	51	30
2025-12-28	3385	60	51	30
2025-12-29	3412	60	52	30
