card	date	note
yuedong	2025-09-02	练背
yuedong	2025-09-06	腿日
yuedong	2025-09-09	游泳
yuedong	2025-09-13	练背
yuedong	2025-10-04	力量
yuedong	2025-10-11	有氧
yuedong	2025-10-18	力量
yuedong	2025-11-08	腿日
yuedong	2025-11-22	游泳
yuedong	2025-12-06	力量
yuedong	2026-02-10	新年第一次
jingjing	2025-11-22	试听后的第一节
jingjing	2025-11-29	
jingjing	2025-12-06	
jingjing	2025-12-13	
jingjing	2025-12-20	
jingjing	2026-01-10	
jingjing	2026-01-17	
jingjing	2026-03-07	复课
jingjing	2026-03-28	
xingge	2026-01-25	剪发
xingge	2026-02-22	剪发
xingge	2026-03-22	剪发
xingge	2026-04-19	剪发
xingge	2026-05-17	剪发
xingge	2026-06-07	剪发
xingge	2026-06-30	剪发
fresh	2026-06-21	体验课
