date	order	name	price	filler	fate	fate_date
2026-10-21	O-101	手机支架	32.0	1	idle	2026-12-30
2026-10-21	O-101	洗衣液	89.0	0	used	2027-01-15
2026-10-21	O-101	抽纸	79.0	0	used	2026-12-28
2026-10-21	O-101	沐浴露	100.0	0	used	2027-03-01
2026-10-23	O-102	数据线	8.9	1	used	2026-12-14
2026-10-23	O-102	数据线	8.9	1	used	2027-01-20
2026-10-23	O-102	桌面收纳盒	16.2	1	idle	2027-02-10
2026-10-23	O-102	洗发水	55.0	0	used	2027-02-20
2026-10-23	O-102	肥皂	33.0	0	used	2027-01-10
2026-10-26	O-103	生抽	61.0	0	used	2027-01-25
2026-10-28	O-104	挂耳咖啡	45.0	1	used	2026-12-05
2026-10-28	O-104	大米	59.9	0	used	2027-01-08
2026-10-28	O-104	酱油	23.9	0	used	2026-12-30
2026-10-28	O-104	拖把	89.9	0	used	2027-02-15
2026-10-28	O-104	保温杯	129.0	0	used	2027-03-10
2026-10-28	O-104	维生素C	152.3	0	used	2027-02-28
2026-10-28	O-104	电池	100.0	0	used	2027-03-20
2026-11-01	O-105	空气炸锅	599.0	0	used	2027-02-25
2026-11-01	O-105	坚果礼盒	281.0	0	idle	2027-03-01
2026-11-01	O-105	年货腊肉	400.0	0	used	2027-02-10
2026-11-05	O-106	长柄锅刷	19.9	1	trashed	2026-11-20
2026-11-05	O-106	搞怪袜子	29.8	1	idle	2027-01-05
2026-11-05	O-106	桌面桌垫	38.3	1	idle	2027-02-15
2026-11-05	O-106	牙膏	25.0	0	used	2027-02-01
2026-11-05	O-106	洗碗布	20.0	0	used	2027-01-30
2026-11-08	O-107	桌面垃圾桶	25.0	1	idle	2027-01-30
2026-11-08	O-107	抽纸	95.0	0	used	2027-01-20
2026-11-08	O-107	毛巾	100.0	0	trashed	2026-12-10
2026-11-08	O-107	香皂	125.0	0	used	2027-03-05
2026-11-11	O-108	备用牙刷	8.0	1	used	2027-02-01
2026-11-11	O-108	牛奶	92.0	0	used	2026-11-20
