#	felt-inflation demo ledger · Lin Xiao, single-person
#	household in Shanghai, 2025-01 .. 2026-06.
#	price is the line total; unit price = price / qty.
date	item	category	qty	price	store
2025-01-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-01-05	milk-1l	grocery	6	72.00	Freshmart
2025-01-07	rice-5kg	grocery	1	42.00	Freshmart
2025-01-09	coffee-beans-250g	grocery	2	96.00	Roastery
2025-01-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-01-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-01-15	metro-pass	transport	1	100.00	MetroCard
2025-01-17	takeaway-lunch	dining	10	220.00	DeliveryApp
2025-01-19	streaming-vip	entertainment	1	25.00	AppStore
2025-01-21	gym-monthly	health	1	150.00	FitClub
2025-01-23	dish-soap	grocery	1	12.50	Freshmart
2025-02-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-02-05	milk-1l	grocery	6	72.00	Freshmart
2025-02-07	rice-5kg	grocery	1	42.00	Freshmart
2025-02-09	coffee-beans-250g	grocery	2	96.00	Roastery
2025-02-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-02-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-02-15	metro-pass	transport	1	100.00	MetroCard
2025-02-17	takeaway-lunch	dining	10	220.00	DeliveryApp
2025-02-19	streaming-vip	entertainment	1	25.00	AppStore
2025-02-21	gym-monthly	health	1	150.00	FitClub
2025-03-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-03-05	milk-1l	grocery	6	72.00	Freshmart
2025-03-07	rice-5kg	grocery	1	42.00	Freshmart
2025-03-09	coffee-beans-250g	grocery	2	96.00	Roastery
2025-03-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-03-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-03-15	metro-pass	transport	1	100.00	MetroCard
2025-03-17	takeaway-lunch	dining	10	220.00	DeliveryApp
2025-03-19	streaming-vip	entertainment	1	25.00	AppStore
2025-03-21	gym-monthly	health	1	150.00	FitClub
2025-03-23	dish-soap	grocery	1	12.50	Freshmart
2025-04-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-04-05	milk-1l	grocery	6	72.00	Freshmart
2025-04-07	rice-5kg	grocery	1	42.00	Freshmart
2025-04-09	coffee-beans-250g	grocery	2	96.00	Roastery
2025-04-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-04-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-04-15	metro-pass	transport	1	100.00	MetroCard
