# 抄表流水:一行一间一次。room=_total 是总表;房间读数日必须有同日总表。
# 段损耗 = (总增量 − Σ房间增量) ÷ 总增量,超容差点 LOSS 灯。
# 故事线:2025-07→08 空调季损耗 10.94%(电 8% 线);2026-02→03 阿花入住
# 首月公区增量虚高 12.68%——两次都该先查漏,再谈分摊。
date	category	room	reading
2025-04-01	electricity	主卧	1200
2025-04-01	electricity	次卧	1150
2025-04-01	electricity	小卧	1100
2025-04-01	electricity	_total	4000
2025-05-01	electricity	主卧	1420
2025-05-01	electricity	次卧	1300
2025-05-01	electricity	小卧	1250
2025-05-01	electricity	_total	4550
2025-06-01	electricity	主卧	1620
2025-06-01	electricity	次卧	1460
2025-06-01	electricity	小卧	1390
2025-06-01	electricity	_total	5078
2025-07-01	electricity	主卧	2000
2025-07-01	electricity	次卧	1700
2025-07-01	electricity	小卧	1570
2025-07-01	electricity	_total	5920
2025-08-01	electricity	主卧	2520
2025-08-01	electricity	次卧	2200
2025-08-01	electricity	小卧	1730
2025-08-01	electricity	_total	7245
2025-09-01	electricity	主卧	2820
2025-09-01	electricity	次卧	2420
2025-09-01	electricity	小卧	1880
2025-09-01	electricity	_total	7950
2025-10-01	electricity	主卧	3070
2025-10-01	electricity	次卧	2620
2025-10-01	electricity	小卧	2040
2025-10-01	electricity	_total	8600
2025-11-01	electricity	主卧	3390
2025-11-01	electricity	次卧	2880
2025-11-01	electricity	小卧	2250
2025-11-01	electricity	_total	9435
2025-12-01	electricity	主卧	3810
2025-12-01	electricity	次卧	3210
2025-12-01	electricity	小卧	2510
2025-12-01	electricity	_total	10495
2026-02-01	electricity	主卧	4450
2026-02-01	electricity	次卧	3710
2026-02-01	electricity	小卧	2720
2026-02-01	electricity	_total	11955
2026-03-01	electricity	主卧	4690
2026-03-01	electricity	次卧	3950
2026-03-01	electricity	小卧	2860
2026-03-01	electricity	_total	12665
