bought	name	category	qty	unit	cost	outcome	outcome_date	cause
2026-06-01	菠菜	绿叶菜	400	g	6.5	tossed	2026-06-06	forgot
2026-06-01	鸡蛋	蛋奶	750	g	21.0	ate	2026-06-14	
2026-06-01	番茄	茄果	600	g	9.0	ate	2026-06-08	
2026-06-03	燕麦奶	乳品	1000	ml	28.0	tossed	2026-06-17	rejected
2026-06-03	鸡胸肉	肉禽	500	g	14.0	ate	2026-06-06	
2026-06-05	生菜	绿叶菜	400	g	5.0	tossed	2026-06-10	spoiled
2026-06-05	土豆	根茎	1000	g	7.0	ate	2026-06-20	
2026-06-05	番茄	茄果	600	g	9.5	ate	2026-06-09	
2026-06-07	米饭	主食	800	g	4.0	tossed	2026-06-09	leftover
2026-06-07	五花肉	肉禽	600	g	29.4	ate	2026-06-11	
2026-06-08	苹果	水果	1000	g	15.8	ate	2026-06-16	
2026-06-08	苋菜	绿叶菜	300	g	4.5	tossed	2026-06-13	forgot
2026-06-09	香蕉	水果	900	g	10.8	ate	2026-06-15	
2026-06-10	酸奶	蛋奶	900	ml	18.0	tossed	2026-06-24	expired
2026-06-12	鲈鱼	水产	500	g	32.0	gave	2026-06-15	
2026-06-15	青菜	绿叶菜	400	g	5.0	ate	2026-06-19	
2026-06-15	香蕉	水果	1000	g	12.0	ate	2026-06-22	
2026-06-16	茄子	茄果	500	g	6.0	ate	2026-06-21	
2026-06-18	羽衣甘蓝	绿叶菜	200	g	9.9	tossed	2026-06-25	rejected
2026-06-19	鸡腿	肉禽	600	g	13.2	ate	2026-06-24	
2026-06-20	黄瓜	茄果	600	g	7.2	ate	2026-06-26	
2026-06-22	牛奶	蛋奶	2000	ml	26.0	ate	2026-07-02	
2026-07-01	西瓜	水果	4000	g	20.0	tossed	2026-07-09	spoiled
2026-07-01	排骨	肉禽	800	g	47.2	ate	2026-07-05	
2026-07-03	胡萝卜	根茎	500	g	4.5	tossed	2026-07-28	forgot
2026-07-03	基围虾	水产	600	g	45.0	tossed	2026-07-08	spoiled
2026-07-05	生菜	绿叶菜	400	g	5.5	ate	2026-07-09	
2026-07-06	猪肝	肉禽	300	g	13.5	ate	2026-07-09	
2026-07-08	鸡胸肉	肉禽	700	g	19.6	ate	2026-07-14	
2026-07-08	番茄	茄果	600	g	9.0	ate	2026-07-14	
2026-07-09	油麦菜	绿叶菜	400	g	6.0	tossed	2026-07-14	forgot
2026-07-10	豆腐	豆制品	400	g	5.0	ate	2026-07-13	
2026-07-12	桃子	水果	1200	g	18.0	ate	2026-07-20	
2026-07-12	土豆	根茎	800	g	5.6	ate	2026-07-20	
2026-07-15	青菜	绿叶菜	400	g	5.5	ate	2026-07-18	
2026-07-15	番茄	茄果	800	g	12.0	ate	2026-07-22	
2026-07-16	豆腐	豆制品	800	g	9.0	ate	2026-07-20	
2026-07-20	牛肉	肉禽	500	g	39.5	ate	2026-07-25	
2026-07-22	燕麦奶	乳品	1000	ml	28.0	tossed	2026-08-05	rejected
2026-07-24	桃子	水果	1000	g	14.0	ate	2026-07-30	
2026-07-25	黄瓜	茄果	600	g	7.5	ate	2026-07-30	
2026-07-28	鸡蛋	蛋奶	750	g	21.9	ate	2026-08-06	
2026-08-01	生菜	绿叶菜	400	g	5.5	tossed	2026-08-07	spoiled
2026-08-01	带鱼	水产	600	g	36.0	ate	2026-08-04	
2026-08-03	苦瓜	茄果	500	g	6.5	ate	2026-08-07	
2026-08-03	猪肉糜	肉禽	400	g	15.2	ate	2026-08-09	
2026-08-05	冬瓜	茄果	2000	g	8.0	open		
2026-08-06	鲈鱼	水产	500	g	30.0	ate	2026-08-10	
2026-08-08	空心菜	绿叶菜	400	g	5.0	tossed	2026-08-12	spoiled
2026-08-08	葡萄	水果	1000	g	19.9	ate	2026-08-15	
2026-08-10	米饭	主食	500	g	2.5	tossed	2026-08-12	leftover
2026-08-10	猪肉糜	肉禽	400	g	15.2	ate	2026-08-14	
2026-08-12	南瓜	茄果	1500	g	11.7	open		
2026-08-12	鸡胸肉	肉禽	600	g	16.8	ate	2026-08-18	
2026-08-14	青菜	绿叶菜	400	g	5.5	ate	2026-08-17	
2026-08-14	毛豆	豆制品	600	g	7.2	ate	2026-08-19	
2026-08-17	番茄	茄果	700	g	9.8	ate	2026-08-21	
2026-08-18	鸡蛋	蛋奶	750	g	21.9	open		
2026-08-20	豆腐	豆制品	400	g	5.0	open		
2026-08-21	米饭	主食	400	g	2.0	ate	2026-08-23	
2026-08-23	香蕉	水果	800	g	9.6	open		
2026-08-24	牛奶	蛋奶	1000	ml	13.0	open		
