date	start	duration_min	attendees	subject	kind	outcome
2026-07-06	09:30	15	5	站会	sync	none
2026-07-06	10:00	60	8	周例会	sync	action
2026-07-07	09:30	15	5	站会	sync	none
2026-07-07	14:00	90	6	评审会	review	decision
2026-07-07	15:40	30	4	顺便对齐	sync	none
2026-07-09	09:30	15	5	站会	sync	none
2026-07-09	15:00	60	4	需求对齐	sync	none
2026-07-10	09:30	15	5	站会	sync	none
2026-07-10	16:30	30	3	周复盘	sync	action
2026-07-13	09:30	15	5	站会	sync	none
2026-07-13	10:00	60	8	周例会	sync	action
2026-07-14	09:30	15	5	站会	sync	none
2026-07-14	14:00	90	6	评审会	review	none
2026-07-14	15:40	30	4	顺便对齐	sync	none
2026-07-15	14:00	120	9	故障复盘-0712	review	decision
2026-07-16	09:30	15	5	站会	sync	none
2026-07-16	15:00	60	4	需求对齐	sync	none
2026-07-17	09:30	15	5	站会	sync	none
2026-07-17	16:30	30	3	周复盘	sync	action
2026-07-20	09:30	15	5	站会	sync	none
2026-07-20	10:00	60	8	周例会	sync	action
2026-07-20	16:00	90	32	全员会	all-hands	none
2026-07-21	09:30	15	5	站会	sync	none
2026-07-21	14:00	90	6	评审会	review	decision
2026-07-21	15:40	30	4	顺便对齐	sync	none
2026-07-22	10:00	60	3	面试-后端	interview	decision
2026-07-23	09:30	15	5	站会	sync	none
2026-07-23	15:00	60	4	需求对齐	sync	none
2026-07-24	09:30	15	5	站会	sync	none
2026-07-24	16:30	30	3	周复盘	sync	action
2026-07-27	09:30	15	5	站会	sync	none
2026-07-27	10:00	60	8	周例会	sync	action
2026-07-28	09:30	15	5	站会	sync	none
2026-07-28	14:00	90	6	评审会	review	none
2026-07-28	15:40	30	4	顺便对齐	sync	none
2026-07-30	09:30	15	5	站会	sync	none
2026-07-30	15:00	60	4	需求对齐	sync	none
2026-07-31	09:30	15	5	站会	sync	none
2026-07-31	16:30	30	3	周复盘	sync	action
2026-08-03	09:30	15	5	站会	sync	none
2026-08-03	10:00	60	8	周例会	sync	action
2026-08-04	09:30	15	5	站会	sync	none
2026-08-04	14:00	90	6	评审会	review	decision
2026-08-04	15:40	30	4	顺便对齐	sync	none
2026-08-05	10:00	60	3	面试-前端	interview	decision
2026-08-06	09:30	15	5	站会	sync	none
2026-08-06	11:00	60	5	客户汇报	review	decision
2026-08-06	15:00	60	4	需求对齐	sync	none
2026-08-07	09:30	15	5	站会	sync	none
2026-08-07	16:30	30	3	周复盘	sync	action
2026-08-10	09:30	15	5	站会	sync	none
2026-08-10	10:00	60	8	周例会	sync	action
2026-08-11	09:30	15	5	站会	sync	none
2026-08-11	14:00	90	6	评审会	review	none
2026-08-11	15:40	30	4	顺便对齐	sync	none
2026-08-13	09:30	15	5	站会	sync	none
2026-08-13	14:30	30	4	临时拉齐-数据口径	sync	none
2026-08-13	15:00	60	4	需求对齐	sync	none
2026-08-14	09:30	15	5	站会	sync	none
2026-08-14	16:30	30	3	周复盘	sync	action
2026-08-17	09:30	15	5	站会	sync	none
2026-08-17	10:00	60	8	周例会	sync	action
2026-08-17	16:00	90	32	全员会	all-hands	none
2026-08-18	09:30	15	5	站会	sync	none
2026-08-18	14:00	90	6	评审会	review	decision
2026-08-18	15:40	30	4	顺便对齐	sync	none
2026-08-20	09:30	15	5	站会	sync	none
2026-08-20	15:00	60	4	需求对齐	sync	none
2026-08-21	09:30	15	5	站会	sync	none
2026-08-21	16:30	30	3	周复盘	sync	action
2026-08-24	09:30	15	5	站会	sync	none
2026-08-24	10:00	60	8	周例会	sync	action
2026-08-25	09:30	15	5	站会	sync	none
2026-08-25	14:00	90	6	评审会	review	none
2026-08-25	15:40	30	4	顺便对齐	sync	none
2026-08-27	09:30	15	5	站会	sync	none
2026-08-27	15:00	60	4	需求对齐	sync	none
2026-08-27	15:00	60	6	复盘-项目M	review	action
2026-08-28	09:30	15	5	站会	sync	none
2026-08-28	16:30	30	3	周复盘	sync	action
2026-09-02	09:30	15	5	站会	sync	none
2026-09-07	10:00	60	8	周例会	sync	action
2026-09-08	14:00	90	6	评审会	review	none
2026-09-10	15:00	60	4	需求对齐	sync	none
2026-09-14	16:00	90	32	全员会	all-hands	none
