# 增项流水账本(小陈 · 每一行都是他签过字的单子) ·
# item/kind/qty/unit/unit_price/amount/note
# kind 四选一(当场分类,这是唯一的皮肤游戏):
#   upgrade=签字升级(你不提他就不会做) forced=被动必做(你不签工程就停)
#   drift=开口量差(挂靠报价单开口条目,条目名须以其开头,qty 记超出的量)
#   padded=行业增利(问三家公司,两家含 → 他单收)
item	kind	qty	unit	unit_price	amount	note
主卫墙砖换购升级	upgrade	1	项	2400	2400	自己要的 · 展厅里看的款
卧室地板升级三层实木	upgrade	38	㎡	65	2470	自己要的 · 补差价
背景墙改岩板	upgrade	1	项	5200	5200	自己要的 · 木作改岩板
卫生间防水(两遍)	forced	14	㎡	85	1190	开工后第 3 天「你家没报防水」
闭水试验	forced	2	次	350	700	物业要记录,不做不许贴砖
墙面找平(误差超范围)	forced	96	㎡	95	9120	工长:「你这墙超普通找平范围」
垃圾清运(含外运)	forced	1	项	2800	2800	物业不让堆小区,不运不能开工
水电改造量差	drift	332	m	38	12616	612m − 预估 280m · 单价同合同
成品保护	padded	1	项	1600	1600	同行两家含 · 他单收
管理费(结算补收)	padded	1	项	7440	7440	合同额 8% · 报价单没写
材料搬运上楼	padded	1	项	2400	2400	有电梯 ·「材料运输费」
开票税金	padded	1	项	3300	3300	要发票才有的「税点」
