date,route,depart,arrive,target
2026-03-02,metro-line2,07:58,08:37,09:00
2026-03-04,metro-line2,08:15,08:56,09:00
2026-03-06,bus-73,08:04,08:34,09:00
2026-03-09,metro-line2,08:02,08:42,09:00
2026-03-11,metro-line2,07:55,08:33,09:00
2026-03-13,metro-line2,08:16,08:57,09:00
2026-03-16,metro-line2,08:04,08:45,09:00
2026-03-18,metro-line2,07:52,08:29,09:00
2026-03-20,metro-line2,08:17,08:58,09:00
2026-03-23,metro-line2,08:06,08:48,09:00
2026-03-25,metro-line2,08:18,08:59,09:00
2026-03-27,metro-line2,08:15,08:57,09:00
2026-03-30,bus-73,08:12,09:08,09:00
2026-04-01,metro-line2,07:56,08:34,09:00
2026-04-03,metro-line2,08:15,08:57,09:00
2026-04-13,metro-line2,08:01,08:40,09:00
2026-04-15,bus-73,07:58,08:30,09:00
2026-04-17,metro-line2,08:22,09:08,09:00
2026-04-20,metro-line2,08:05,08:47,09:00
2026-04-22,metro-line2,08:16,08:58,09:00
2026-04-24,bus-73,08:16,08:51,09:00
2026-04-27,metro-line2,07:57,08:41,09:00
2026-04-29,metro-line2,07:54,08:30,09:00
2026-05-04,metro-line2,08:03,08:43,09:00
2026-05-06,metro-line2,08:17,08:59,09:00
2026-05-08,bus-73,08:07,09:07,09:00
2026-05-11,metro-line2,07:57,08:35,09:00
2026-05-13,metro-line2,08:00,08:39,09:00
2026-05-15,metro-line2,08:15,08:58,09:00
2026-05-18,metro-line2,08:08,08:49,09:00
2026-05-20,bus-73,08:20,08:49,09:00
2026-05-22,metro-line2,08:24,09:13,09:00
2026-05-25,metro-line2,07:59,08:38,09:00
2026-05-27,metro-line2,08:15,08:58,09:00
2026-05-29,metro-line2,08:15,08:58,09:00
2026-06-01,metro-line2,08:02,08:42,09:00
2026-06-03,metro-line2,08:16,08:59,09:00
2026-06-05,bus-73,08:02,08:43,09:00
2026-06-08,metro-line2,07:55,08:32,09:00
2026-06-10,metro-line2,08:07,08:49,09:00
2026-06-12,bus-73,08:14,08:48,09:00
2026-06-15,metro-line2,07:53,08:29,09:00
2026-06-17,metro-line2,08:04,08:44,09:00
2026-06-19,metro-line2,08:21,09:08,09:00
2026-06-26,metro-line2,08:15,08:59,09:00
2026-06-29,bus-73,08:22,09:12,09:00
2026-07-01,metro-line2,08:15,08:59,09:00
2026-07-03,metro-line2,08:15,08:59,09:00
2026-07-06,metro-line2,08:00,08:39,09:00
2026-07-08,bus-73,08:06,08:42,09:00
2026-07-10,metro-line2,08:16,09:00,09:00
2026-07-13,metro-line2,08:05,08:49,09:00
2026-07-15,bike,08:25,08:52,
2026-07-17,metro-line2,08:16,09:00,09:00
2026-07-20,metro-line2,07:58,08:37,09:00
2026-07-22,bike,08:25,08:49,
2026-07-24,bus-73,08:18,09:02,09:00
2026-07-27,metro-line2,08:03,08:44,09:00
2026-07-29,metro-line2,07:56,08:34,09:00
2026-07-31,metro-line2,08:19,09:07,09:00
2026-08-03,metro-line2,08:01,08:41,09:00
2026-08-05,bike,08:25,08:54,
2026-08-07,metro-line2,08:15,09:00,09:00
2026-08-10,metro-line2,08:06,08:48,09:00
2026-08-12,bus-73,08:22,09:00,09:00
2026-08-17,metro-line2,08:05,08:50,09:00
2026-08-19,bike,08:25,08:56,
2026-08-21,metro-line2,08:15,09:00,09:00
2026-08-24,metro-line2,07:54,08:31,09:00
2026-08-26,metro-line2,08:15,09:00,09:00
2026-08-28,metro-line2,08:15,09:00,09:00
