# 哑税 · Mute Levy 样例工资条账本 —— 2025 年，年中从 A 公司跳到 B 公司
# month: 工资所属月；employer: 雇主（同月两家都发是合法的，各雇主任职月独立累计）
# gross 应发(税前) / social 社保个人 / fund 公积金个人 / other_exempt 其他免税扣除 / tax_paid 当月实缴个税
month	employer	gross	social	fund	other_exempt	tax_paid
2025-01	A公司	18000.00	1800.00	2160.00	0.00	241.20
2025-02	A公司	18000.00	1800.00	2160.00	0.00	241.20
2025-03	A公司	18000.00	1800.00	2160.00	0.00	241.20
2025-04	A公司	18000.00	1800.00	2160.00	0.00	241.20
2025-05	A公司	18000.00	1800.00	2160.00	0.00	535.20
2025-06	B公司	21000.00	2100.00	2520.00	0.00	311.40
2025-07	B公司	21000.00	2100.00	2520.00	0.00	311.40
2025-08	B公司	21000.00	2100.00	2520.00	0.00	311.40
2025-09	B公司	21000.00	2100.00	2520.00	0.00	697.80
2025-10	B公司	21000.00	2100.00	2520.00	0.00	1038.00
2025-11	B公司	21000.00	2100.00	2520.00	0.00	1038.00
2025-12	B公司	21000.00	2100.00	2520.00	0.00	1038.00
