date	tmin	tmax	cond	outfit	feel
2025-10-01	21	27	sunny	短袖T	0
2025-10-02	22	28	sunny	短袖T	0
2025-10-03	20	26	cloudy	短袖T	0
2025-10-07	21	26	sunny	衬衫	0
2025-10-08	21	26	cloudy	衬衫	0
2025-10-09	17	23	sunny	长袖T	+1
2025-10-10	18	24	sunny	风衣+长袖T	+1
2025-10-13	17	23	cloudy	风衣+长袖T	+1
2025-10-14	16	22	sunny	长袖T	+1
2025-10-15	15	21	cloudy	风衣+长袖T	0
2025-10-16	14	19	sunny	风衣+卫衣	0
2025-10-17	14	20	cloudy	风衣+卫衣	0
2025-10-20	14	21	rain	风衣+卫衣	0
2025-10-21	13	20	cloudy	风衣+卫衣	0
2025-10-22	13	21	sunny	卫衣	0
2025-10-23	12	19	cloudy	风衣+卫衣	0
2025-10-24	12	20	rain	风衣+卫衣	0
2025-10-27	11	18	cloudy	卫衣	0
2025-10-28	10	18	sunny	风衣+卫衣	0
2025-10-29	10	17	rain	卫衣	-1
2025-10-30	9	16	cloudy	风衣+卫衣	0
2025-10-31	9	17	sunny	卫衣	-1
2025-11-03	9	16	sunny	风衣+卫衣	0
2025-11-04	8	15	cloudy	风衣+卫衣	0
2025-11-05	4	10	rain	卫衣	-1
2025-11-06	6	12	cloudy	轻型羽绒+长袖T	-1
2025-11-07	7	13	sunny	毛衣+风衣	0
2025-11-10	6	13	sunny	毛衣+风衣	0
2025-11-11	6	12	cloudy	卫衣	-1
2025-11-12	6	13	rain	毛衣+风衣	0
2025-11-13	4	9	cloudy	轻型羽绒+长袖T	-1
2025-11-14	5	10	sunny	毛衣+风衣	0
2025-11-17	4	10	cloudy	轻型羽绒+长袖T	-1
2025-11-18	4	9	sunny	毛衣+大衣	0
2025-11-19	3	9	cloudy	毛衣+风衣	0
2025-11-20	2	8	rain	轻型羽绒+长袖T	-1
2025-11-21	2	7	cloudy	毛衣+大衣	0
2025-11-24	1	7	sunny	厚羽绒+毛衣	0
2025-11-25	0	6	cloudy	厚羽绒+毛衣	0
2025-11-26	1	7	rain	轻型羽绒+长袖T	-2
2025-11-27	0	5	sunny	毛衣+大衣	0
2025-11-28	-1	5	cloudy	厚羽绒+毛衣	0
2025-12-01	-1	5	cloudy	厚羽绒+毛衣	0
2025-12-02	-2	4	sunny	厚羽绒+毛衣	0
2025-12-03	-2	3	rain	厚羽绒+毛衣	0
2025-12-04	-3	3	sunny	厚羽绒+毛衣	0
2025-12-05	-3	2	cloudy	厚羽绒+毛衣	0
2025-12-08	-4	2	sunny	厚羽绒+毛衣	0
2025-12-09	-4	1	cloudy	厚羽绒+毛衣	0
2025-12-10	-3	2	rain	厚羽绒+毛衣	0
2025-12-11	-2	3	cloudy	大衣+毛衣	0
2025-12-12	-2	4	sunny	厚羽绒+毛衣	+1
2025-12-15	-1	4	cloudy	大衣+毛衣	0
