item	category	buy_date	price	replace_cost	retired_date	kwh_month	life_years	note
厨房燃气热水器	燃气热水器	2017-06-10	2899	2500						装修批次 打火变慢
厨房燃气灶	燃气灶	2017-06-10	1280	1100						装修批次
吸油烟机	吸油烟机	2017-06-15	2399	1900						装修批次 吸力下降
滚筒洗衣机	洗衣机	2017-07-02	3299	2400						装修批次
对开门电冰箱	电冰箱	2017-07-20	4599	3600		52			装修批次 电表大户
客厅挂机	空调	2018-06-30	3800	3200						装修收尾
主卧挂机	空调	2018-06-30	3200	3200						装修收尾
厨下净水机	净水机	2019-04-13	1999	2200						搬进后补装
客厅电视	电视	2019-11-11	5999	3500						双11
微波炉	微波炉	2021-05-20	399								二手平台购入
电热毯	电热毯	2020-11-05	199								老人房过冬
电饭煲	电饭煲	2023-03-18	299	350						换新
扫地机器人	扫地机器人	2023-08-20	2899	1800						换代
卧室加湿器	加湿器	2026-01-15	249	300						冬天新购
父母房电热水器	电热水器											无发票 考古中
旧冰箱-2006	电冰箱	2006-09-01	3080	4599	2017-07-20				以旧换新 装修下岗
旧洗衣机-2009	洗衣机	2009-03-01	1898	3299	2017-07-02				装修下岗
旧微波炉-2011	微波炉	2011-05-20	420	600	2021-05-20				门扣松动退役
