date	activity	minutes	rpe	notes
2026-05-05	轻松跑	45	4	
2026-05-07	节奏跑	40	6	
2026-05-09	长距离	75	5	
2026-05-10	恢复跑	30	3	
2026-05-12	轻松跑	46	4	
2026-05-14	节奏跑	41	6	
2026-05-16	长距离	76	5	
2026-05-17	恢复跑	31	3	
2026-05-19	轻松跑	47	4	
2026-05-21	节奏跑	42	6	
2026-05-23	长距离	78	5	
2026-05-24	恢复跑	31	3	
2026-05-26	轻松跑	48	4	
2026-05-28	节奏跑	42	6	
2026-05-30	长距离	80	5	
2026-05-31	恢复跑	32	3	
2026-06-02	轻松跑	49	4	
2026-06-04	节奏跑	43	6	
2026-06-06	长距离	81	5	
2026-06-07	恢复跑	32	3	
2026-06-09	轻松跑	50	4	
2026-06-11	节奏跑	44	6	
2026-06-13	长距离	82	5	
2026-06-14	恢复跑	33	3	
2026-06-16	轻松跑	50	4	
2026-06-18	节奏跑	45	6	
2026-06-20	长距离	84	5	
2026-06-21	恢复跑	34	3	
2026-06-23	轻松跑	51	4	
2026-06-25	节奏跑	46	6	
2026-06-27	长距离	86	5	
2026-06-28	恢复跑	34	3	
2026-06-30	轻松跑	55	4	
2026-07-02	节奏跑	49	6	
2026-07-04	长距离	92	5	
2026-07-05	恢复跑	37	3	
2026-07-07	轻松跑	50	6	
2026-07-08	间歇课	70	8	
2026-07-09	节奏跑	60	7	
2026-07-11	超长距离	130	7	
2026-07-12	配速跑	60	6	
2026-07-14	轻松跑	40	5	
2026-07-16	恢复跑	30	5	
2026-07-18	长距离	45	5	
2026-07-21	轻松跑	30	3	
2026-08-06	恢复跑	35	3	
2026-08-11	轻松跑	40	4	
2026-08-13	轻松跑	35	4	
2026-08-15	长距离慢	45	4	
2026-08-18	轻松跑	45	4	
2026-08-20	节奏跑	50	5	
2026-08-22	长距离	70	4	
2026-08-23	恢复跑	30	3	
2026-08-25	轻松跑	50	4	
2026-08-27	节奏跑	55	5	
2026-08-29	长距离	95	5	
2026-08-30	恢复跑	35	3	
