# 同框账本 · 陈家的聚齐记录(爷奶在老家,三兄妹在城里)
# 列: date/event/who
# date=聚齐那天 event=场合(可空) who=在场成员(逗号分隔,首见即注册)
# 拍完照随手记一行——账本只数「已经空了多久」,不数「还剩几次」
date	event	who
2023-01-22	春节全家福	爷爷,奶奶,爸,妈,大姐,二哥,小妹
2023-05-02	大姐婚礼	爷爷,奶奶,爸,妈,大姐,二哥,小妹
2023-09-29	中秋	爷爷,奶奶,爸,妈,二哥
2024-02-10	春节	爷爷,奶奶,爸,妈,大姐,二哥,小妹
2024-06-08	端午	爸,妈,二哥,爷爷
2024-10-02	国庆	爷爷,奶奶,爸,妈,大姐,二哥,小妹
2024-11-16	爷爷住院复查	爸,大姐,爷爷
2025-01-29	春节	奶奶,爸,妈,大姐,二哥,小妹
2025-05-11	母亲节	妈,大姐,小妹
2025-10-04	国庆	奶奶,爸,妈,大姐,二哥,小妹
2026-02-16	春节	奶奶,爸,妈,大姐,小妹
2026-05-31	小妹搬家	妈,大姐,小妹,二哥
2026-08-30	奶奶生日	奶奶,爸,妈,大姐,小妹
