# 对照报价 · B 公司同户型全包（合同价 ¥97,430 —— 防水/清运/管理费都写在纸上）
category	item	unit	qty	price	amount
拆改	墙体拆改及渣土装袋	m²	17	112	1904
水电	水电改造（预收，按实结算）	m	100	85	8500
防水	卫生间墙地面防水	m²	12	185	2220
瓦工	卫生间厨房墙地砖铺贴	m²	52	95	4940
瓦工	地面找平	m²	40	45	1800
吊顶	客厅双眼皮吊顶	m	34	88	2992
油漆	墙面基层处理及乳胶漆	m²	230	58	13340
瓷砖	墙地砖主材（含阳台）	m²	58	140	8120
地板	强化复合地板（含安装）	m²	62	182	11284
室内门	实木复合门（含门套五金）	樘	4	1650	6600
橱柜	整体橱柜（地柜+吊柜 4.2m）	m	4.2	1950	8190
卫浴洁具	马桶+花洒+浴室柜	套	2	3950	7900
灯具开关	全屋灯具及开关面板	项	1	4600	4600
封窗	阳台断桥铝封窗	m²	12	680	8160
美缝	全屋瓷砖美缝	m²	85	28	2380
保洁	开荒保洁	次	1	800	800
垃圾清运	装修垃圾外运	车	2	450	900
管理费	工程管理费	项	1	2800	2800
