date	event	item	minutes	place	amount	note
2026-06-30	search	户口本	12	五斗柜最底层		办护照前夜
2026-07-01	search	剪刀	3	抽屉		
2026-07-02	search	门禁卡	5	沙发缝		
2026-07-05	search	雨伞	6	阳台角落		
2026-07-08	search	充电线	10	-		出门前找，没找到
2026-07-08	buy	充电线			29.9	网上再买一根
2026-07-09	search	门禁卡	3	包侧袋		
2026-07-11	search	灭火器	8	-		物业查消防前夜
2026-07-12	search	灭火器	1	储物箱底		第二天搬箱子找到
2026-07-15	search	门禁卡	7	-		迟到 20 分钟
2026-07-15	buy	门禁卡			30	去物业补办
2026-07-16	search	门禁卡	1	外套口袋		旧卡自己现形，白补办了
2026-07-19	search	剪刀	6	-		拆快递找不到剪刀
2026-07-19	buy	剪刀			19.9	找不到就下了单
2026-07-20	search	剪刀	1	抽屉		新剪刀还没到，旧的现形
2026-07-20	fix	门禁卡		玄关托盘		口袋不配拥有它
2026-07-22	search	充电线	2	床头柜		
2026-07-25	search	指甲刀	4	药盒		
2026-07-28	search	老花镜	5	头顶		找了半天在自己头上
2026-08-02	search	保温杯盖	5	碗架		
2026-08-05	buy	充电线			29.9	又以为丢了，再买一根
2026-08-08	search	门禁卡	2	玄关托盘		它真在托盘里
2026-08-10	buy	卷尺			16.9	工具箱常备第二把，无寻物史
2026-08-12	search	剪刀	4	抽屉		
2026-08-16	search	保温杯盖	2	-		
2026-08-18	search	指甲刀	3	药盒		
2026-08-20	fix	指甲刀		药盒挂钩		
2026-08-21	search	充电线	6	沙发缝		第一根，一直都在
