date	kind	count	event	note
2025-05-10	wash	248		地漏焦虑开始计数
2025-05-12	wash	252		
2025-05-14	wash	259		
2025-05-16	wash	250		
2025-05-18	wash	255		
2025-05-20	wash	261		
2025-05-22	wash	249		
2025-05-24	wash	258		
2025-05-26	wash	262		
2025-05-28	wash	247		
2025-05-30	wash	256		
2025-06-01	wash	263		
2025-06-03	wash	251		
2025-06-05	wash	260		
2025-06-07	wash	264		
2025-06-09	wash	253		
2025-06-11	wash	258		
2025-06-14			start minoxidil	皮肤科就诊 AGA 米诺地尔5%每晚
2025-06-15	wash	257		
2025-06-17	wash	249		
2025-06-19	wash	258		
2025-06-21	wash	251		
2025-06-23	wash	260		
2025-06-25	wash	246		
2025-06-27	wash	255		
2025-06-29	wash	258		
2025-07-01	wash	250		
2025-07-03	wash	259		
2025-07-05	wash	252		
2025-07-07	wash	261		
2025-07-09	wash	248		
2025-07-11	wash	256		
2025-07-13	wash	259		
2025-07-15	wash	251		
2025-07-17	wash	260		
2025-07-19	wash	254		
2025-07-21	wash	257		
2025-07-23	wash	249		
2025-07-25	wash	258		
2025-07-27	wash	253		
2025-07-29	wash	261		
2025-07-31	wash	250		
2025-08-02			start finasteride	复诊加口服非那雄胺1mg
2025-08-03	wash	205		
2025-08-05	wash	198		
2025-08-07	wash	202		
2025-08-09	wash	193		
2025-08-11	wash	197		
2025-08-13	wash	190		
2025-08-15	wash	194		
2025-08-17	wash	187		
2025-08-19	wash	191		
2025-08-21	wash	184		
2025-08-23	wash	188		
2025-08-25	wash	181		
2025-08-27	wash	185		
2025-08-29	wash	178		
2025-08-31	wash	182		
2025-09-02	wash	175		
2025-09-04	wash	179		
2025-09-06	wash	172		
2025-09-08	wash	176		
2025-09-10	wash	169		
2025-09-13	wash	218		
2025-09-16	wash	214		
2025-09-19	wash	222		
2025-09-22	wash	215		
2025-09-25	wash	219		
2025-09-28	wash	216		
2025-10-01	wash	221		
2025-10-04	wash	217		
2025-10-07	wash	223		
2025-10-10	wash	215		
2025-10-13	wash	220		
2025-10-16	wash	216		
2025-10-19	wash	222		
2025-10-22	wash	214		
2025-10-25	wash	219		
2025-10-28	wash	217		
2025-10-31	wash	224		
2025-11-03	wash	215		
2025-11-06	wash	221		
2025-11-09	wash	216		
2025-11-12	wash	223		
2025-11-15	wash	218		
2025-11-18	wash	214		
2025-11-21	wash	222		
2025-11-24	wash	217		
2025-11-27	wash	219		
2025-11-30	wash	215		
2025-12-03	wash	224		
2025-12-06	wash	216		
2025-12-09	wash	220		
2025-12-12	wash	217		
2025-12-15	wash	223		
2025-12-18	wash	215		
2025-12-21	wash	221		
2025-12-24	wash	218		
2025-12-27	wash	225		
2025-12-30	wash	214		
2026-01-02	wash	219		
2026-01-05	wash	216		
2026-01-08	wash	222		
2026-01-11	wash	215		
2026-01-14	wash	218		
2026-01-17	wash	220		
2026-01-17			stop finasteride	副作用顾虑 自行停药
2026-03-30	wash	231		春节断记72天
2026-04-01	wash	228		
2026-04-04	wash	233		
2026-04-07	wash	229		
2026-04-10	wash	236		
2026-04-13	wash	231		
2026-04-16	wash	238		
2026-04-19	wash	242		
2026-04-22	wash	247		
2026-04-25	wash	244		
2026-04-28	wash	251		
2026-05-01	wash	246		
2026-05-04	wash	253		
2026-05-07	wash	249		
2026-05-10	wash	256		
2026-05-13	wash	252		
2026-05-16	wash	259		
2026-05-19	wash	255		
2026-05-22	wash	262		
2026-05-25	wash	258		
2026-05-28	wash	265		
2026-05-31	wash	261		
2026-06-03	wash	268		
2026-06-06	wash	264		
2026-06-09	wash	271		
2026-06-12	wash	267		
2026-06-15	wash	280		
2026-06-18	wash	285		
2026-06-21	wash	291		
2026-06-24	wash	287		
2026-06-27	wash	300		
2026-06-30	wash	296		
2026-07-03	wash	303		
2026-07-06	wash	299		
2026-07-09	wash	306		
2026-07-12	wash	302		
2026-07-15	wash	309		
2026-07-18	wash	305		
2026-07-21	wash	312		
2026-07-24	wash	308		
2026-06-28	comb	27		
2026-07-05	comb	31		
2026-07-19	comb	35		
