type	pet	item	date	note
pet	阿福	dog		柯基,2 岁,10kg,2024-06 接回来的弟弟
pet	煤球	cat		狸花,2 岁,2024-05 捡回来的妹妹,免疫史不明
pet	年糕	cat		乳白,8 个月,2025-07 接回家的幼猫
shot	阿福	core-dog	2025-03-12	瑞鹏,八联系列第三针(完成)
shot	阿福	rabies	2025-02-20	狂犬证 2026-02-20 到期
shot	阿福	flea	2025-12-28	大宠爱
shot	阿福	worm	2025-11-05	拜宠清
shot	阿福	hw	2025-12-10	犬心保
shot	煤球	rabies	2024-06-15	领养当年打的,之后没续
shot	煤球	worm	2025-09-30	海乐妙
shot	年糕	fvrcp	2025-08-15	妙三多第一针
shot	年糕	fvrcp	2025-09-12	妙三多第二针
shot	年糕	fvrcp	2025-10-10	妙三多第三针,系列完成
shot	年糕	rabies	2025-10-10	与第三针同天
shot	年糕	flea	2026-02-05	大宠爱
shot	年糕	worm	2026-01-15	拜宠清
