electric 全史 · 32 期 · 度

  账期        用量   同比       状态
  2024-01     320       —  · NORMAL（无同期对照）
  2024-02     300       —  · NORMAL（无同期对照）
  2024-03     280       —  · NORMAL（无同期对照）
  2024-04     240       —  · NORMAL（无同期对照）
  2024-05     200       —  · NORMAL（无同期对照）
  2024-06     180       —  · NORMAL（无同期对照）
  2024-07     190       —  · NORMAL（无同期对照）
  2024-08     200       —  · NORMAL（无同期对照）
  2024-09     210       —  · NORMAL（无同期对照）
  2024-10     250       —  · NORMAL（无同期对照）
  2024-11     290       —  · NORMAL（无同期对照）
  2024-12     330       —  · NORMAL（无同期对照）
  2025-01     330     +3.1%  · NORMAL
  2025-02     310     +3.3%  · NORMAL
  2025-03     290     +3.6%  · NORMAL
  2025-04     250     +4.2%  · NORMAL
  2025-05     210     +5.0%  · NORMAL
  2025-06     190     +5.6%  · NORMAL
  2025-07     200     +5.3%  · NORMAL
  2025-08     210     +5.0%  · NORMAL
  2025-09     220     +4.8%  · NORMAL
  2025-10     260     +4.0%  · NORMAL
  2025-11     300     +3.4%  · NORMAL
  2025-12     340     +3.0%  · NORMAL
  2026-01     335     +3.1%  · NORMAL
  2026-02     315     +3.3%  · NORMAL
  2026-03     295     +3.5%  · NORMAL
  2026-04     255     +4.1%  · NORMAL
  2026-05     225     +9.8%  · NORMAL
  2026-06     230    +24.3%  · NORMAL
  2026-07     280    +43.6%  ⚡ SPIKE
  2026-08     395    +92.7%  ⚡ SPIKE  ✗ LEAK

全史异常 2 期。突变的锚是去年同期——季节是共变，同比才是对照。
