# generated by examples/build_examples.py — do not edit by hand
date	sleep	wake	kind	alarm
2026-08-17	22:40	05:50	work	yes
2026-08-18	22:40	05:50	work	yes
2026-08-19	22:40	05:50	work	yes
2026-08-20	22:40	05:50	work	yes
2026-08-21	22:40	05:50	work	yes
2026-08-22	22:50	06:10	free	no
2026-08-23	22:50	06:10	free	no
2026-08-24	22:40	05:50	work	yes
2026-08-25	22:40	05:50	work	yes
2026-08-26	22:40	05:50	work	yes
2026-08-27	22:40	05:50	work	yes
2026-08-28	22:40	05:50	work	yes
2026-08-29	22:50	06:10	free	no
2026-08-30	22:50	06:10	free	no
2026-08-31	22:40	05:50	work	yes
2026-09-01	22:40	05:50	work	yes
2026-09-02	22:40	05:50	work	yes
2026-09-03	22:40	05:50	work	yes
2026-09-04	22:40	05:50	work	yes
2026-09-05	22:50	06:10	free	no
2026-09-06	22:50	06:10	free	no
