# generated by examples/build_examples.py — do not edit by hand
date	sleep	wake	kind	alarm
2026-08-17	00:20	07:10	work	yes
2026-08-18	00:20	07:10	work	yes
2026-08-19	00:20	07:10	work	yes
2026-08-20	00:20	07:10	work	yes
2026-08-21	01:20	07:10	work	yes
2026-08-22	02:30	10:40	free	no
2026-08-23	02:30	10:40	free	no
2026-08-24	00:20	07:10	work	yes
2026-08-25	00:20	07:10	work	yes
2026-08-26	00:50	08:10	work	yes
2026-08-27	00:20	07:10	work	yes
2026-08-28	01:20	07:10	work	yes
2026-08-29	02:30	10:40	free	no
2026-08-30	02:30	10:40	free	no
2026-08-31	00:20	07:10	work	yes
2026-09-01	00:20	07:10	work	yes
2026-09-02	00:20	07:10	work	yes
2026-09-03	00:20	07:10	work	yes
2026-09-04	01:20	07:10	work	yes
2026-09-05	03:10	11:20	free	no
2026-09-06	01:40	09:00	free	no
