date	category	note	people
2026-01-01	event	元旦第一次看海上日出	
2026-01-10	place	第一次去市图书馆新馆	
2026-01-17	person	经老周介绍认识阿芳	阿芳
2026-01-24	skill	第一次上陶艺课，拉了个歪杯子	
2026-01-31	food	第一次吃酸汤牛肉	
2026-02-08	person	生日局认识阿芳的朋友小柯	阿芳、小柯
2026-04-12	place	第一次去老周的新房子	老周
2026-05-01	place	第一次到泉州（和阿芳）	阿芳
2026-05-02	place	第一次看蟳埔簪花围	阿芳
2026-05-03	food	第一次吃面线糊配油条	阿芳
2026-05-05	event	第一次看高甲戏	阿芳
2026-05-07	place	第一次到东山岛环岛	阿芳
2026-05-09	food	第一次喝单丛鸭屎香	阿芳
2026-05-12	skill	第一次浮潜	阿芳
2026-05-30	skill	第一次自己补自行车胎	
2026-07-05	event	第一次看露天话剧	老周
